"","key","Year","Player","Age","Team","Pos","G","MP","FG","FGA","FG.","FT","FTA","FT.","TRB","AST","PF","PTS","Trp.Dbl","Awards","Playoffs"
"132","halimsh01",1969,"Shaler Halimon",23,"PHI","SF",50,350,88,196,0.449,10,32,0.313,86,18,34,186,0,"",0
"133","ormsba01",1969,"Barry Orms",22,"BAL","PG",64,916,76,246,0.309,29,60,0.483,158,49,155,181,0,"",0
"134","schluda01",1969,"Dale Schlueter",23,"SFW","C",31,559,68,157,0.433,45,82,0.549,216,30,81,181,0,"",0
"135","gueriri01",1969,"Richie Guerin",36,"ATL","SG",27,472,47,111,0.423,57,74,0.77,59,99,66,151,0,"",0
"136","andercl01",1969,"Cliff Anderson",24,"LAL","SG",35,289,44,108,0.407,47,82,0.573,44,31,58,135,0,"",0
"137","hoskebi01",1969,"Bill Hosket",22,"NYK","PF",50,351,53,123,0.431,24,42,0.571,94,19,77,130,0,"",0
"138","finkeha01",1969,"Hank Finkel",26,"SDR","C",35,332,49,111,0.441,31,41,0.756,107,21,53,129,0,"",0
"139","riordmi01",1969,"Mike Riordan",23,"NYK","SF",54,397,49,144,0.34,28,42,0.667,57,46,93,126,0,"",0
"140","frinkpa01",1969,"Pat Frink",23,"CIN","SG",48,363,50,147,0.34,23,29,0.793,41,55,54,123,0,"",0
"141","doveso01",1969,"Sonny Dove",23,"DET","PF",29,236,47,100,0.47,24,36,0.667,62,12,49,118,0,"",0
"142","peterlo01",1969,"Loy Petersen",23,"CHI","SG",38,299,44,109,0.404,19,27,0.704,41,25,39,107,0,"",0
"143","niemari01",1969,"Rich Niemann",22,"2TM","C",34,272,44,106,0.415,19,25,0.76,100,16,61,107,0,"",0
"144","harlisk01",1969,"Skip Harlicka",22,"ATL","PG",26,218,41,90,0.456,24,31,0.774,16,37,29,106,0,"",0
"145","quickbo01",1969,"Bob Quick",22,"BAL","SF",28,154,30,73,0.411,27,44,0.614,25,12,14,87,0,"",0
"146","hairsal01",1969,"Al Hairston",23,"SEA","SG",39,274,38,114,0.333,8,14,0.571,36,38,35,84,0,"",0
"147","chanedo01",1969,"Don Chaney",22,"BOS","SG",20,209,36,113,0.319,8,20,0.4,46,19,32,80,0,"",0
"148","trappjo01",1969,"John Trapp",23,"SDR","SF",25,142,29,80,0.363,19,29,0.655,49,5,38,77,0,"",0
