"","key","Year","Player","Age","Team","Pos","G","MP","FG","FGA","FG.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","PF","PTS","Trp.Dbl","Awards","Playoffs"
"129","johnsch01",1974,"Charles Johnson",24,"GSW","PG",59,1051,194,468,0.415,38,55,0.691,49,126,175,102,62,7,111,426,0,"",0
"130","stallbu01",1974,"Bud Stallworth",24,"SEA","SF",67,1019,188,479,0.392,48,77,0.623,51,123,174,33,21,12,129,424,0,"",0
"131","johnsge02",1974,"George Johnson",25,"GSW","C",66,1291,173,358,0.483,59,107,0.551,190,332,522,73,35,124,176,405,0,"",0
"132","kuberst01",1974,"Steve Kuberski",26,"BOS","PF",78,985,157,368,0.427,86,111,0.775,96,141,237,38,7,7,125,400,0,"",0
"133","maydo01",1974,"Don May",28,"PHI","SF",56,812,152,367,0.414,89,102,0.873,25,111,136,63,25,8,137,393,0,"",0
"134","clemeba01",1974,"Barry Clemens",30,"CLE","SF",71,913,163,346,0.471,62,73,0.849,42,124,166,80,36,2,136,388,0,"",0
"135","chrisbo01",1974,"Bob Christian",27,"PHO","C",81,1244,140,288,0.486,106,151,0.702,85,254,339,98,19,32,191,386,0,"",0
"136","hummejo01",1974,"John Hummer",25,"2TM","PF",53,1119,144,305,0.472,59,124,0.476,84,199,283,107,28,22,119,347,0,"",0
"137","unselwe01",1974,"Wes Unseld",27,"CAP","C",56,1727,146,333,0.438,36,55,0.655,152,365,517,159,56,16,121,328,0,"",0
"138","davisji01",1974,"Jim Davis",32,"DET","C",78,947,117,283,0.413,90,139,0.647,102,191,293,86,39,30,158,324,0,"",0
"139","leecl01",1974,"Clyde Lee",29,"GSW","PF",54,1642,129,284,0.454,62,107,0.579,188,410,598,68,27,17,179,320,0,"MVP-17",0
"140","wohlda01",1974,"Dave Wohl",24,"2TM","PG",67,1055,121,277,0.437,75,102,0.735,11,35,46,236,76,2,136,317,0,"",0
"141","mcneila01",1974,"Larry McNeill",23,"KCO","PF",54,516,106,220,0.482,99,140,0.707,60,86,146,24,35,6,76,311,0,"",0
"142","colemec01",1974,"E.C. Coleman",23,"HOU","PF",58,1075,128,250,0.512,47,74,0.635,81,171,252,76,37,20,162,303,0,"",0
"143","warrejo01",1974,"John Warren",26,"CLE","SG",69,790,132,291,0.454,35,41,0.854,42,86,128,62,27,6,117,299,0,"",0
"144","greenla01",1974,"Lamar Green",26,"PHO","PF",72,1103,129,317,0.407,38,68,0.559,85,265,350,43,32,38,150,296,0,"",0
"145","lovest01",1974,"Stan Love",24,"LAL","PF",51,698,119,278,0.428,49,64,0.766,54,116,170,48,28,20,132,287,0,"",0
"146","dickede01",1974,"Derrek Dickey",22,"GSW","PF",66,930,115,233,0.494,51,66,0.773,123,216,339,54,17,15,112,281,0,"",0
"147","mooreot01",1974,"Otto Moore",27,"2TM","C",78,946,120,240,0.5,39,62,0.629,80,204,284,65,26,49,99,279,0,"",0
"148","fostefr01",1974,"Fred Foster",27,"CLE","SF",58,649,112,288,0.389,54,64,0.844,43,65,108,62,19,6,79,278,0,"",0
"149","bristal01",1974,"Allan Bristow",22,"PHI","SF",55,643,108,270,0.4,42,57,0.737,68,99,167,92,29,1,68,258,0,"",0
"150","wittelu01",1974,"Luke Witte",23,"CLE","C",57,728,105,243,0.432,46,62,0.742,80,147,227,41,8,22,91,256,0,"",0
"151","wetzejo01",1974,"John Wetzel",29,"ATL","SG",70,1232,107,252,0.425,41,57,0.719,39,131,170,138,73,19,147,255,0,"",0
"152","dantomi01",1974,"Mike D'Antoni",22,"KCO","SG",52,989,107,266,0.402,33,47,0.702,24,69,93,123,75,15,112,247,0,"",0
"153","smithgr01",1974,"Greg Smith",27,"POR","SF",67,878,99,228,0.434,48,79,0.608,65,124,189,78,41,6,126,246,0,"",0
"154","martila01",1974,"LaRue Martin",23,"POR","C",50,538,101,232,0.435,42,66,0.636,74,107,181,20,7,26,90,244,0,"",0
"155","nelsolo01",1974,"Louie Nelson",22,"CAP","SG",49,556,93,215,0.433,53,73,0.726,26,44,70,52,31,2,62,239,0,"",0
"156","kunneke01",1974,"Kevin Kunnert",22,"2TM","C",64,701,105,215,0.488,21,33,0.636,83,134,217,43,10,54,151,231,0,"",0
"157","charlke01",1974,"Ken Charles",22,"BUF","SG",59,693,88,185,0.476,53,79,0.671,25,40,65,54,31,10,91,229,0,"",0
"158","leaksma01",1974,"Manny Leaks",28,"CAP","C",53,845,79,232,0.341,58,83,0.699,94,150,244,25,10,39,95,216,0,"",0
"159","durreke01",1974,"Ken Durrett",25,"KCO","SF",45,462,86,176,0.489,42,69,0.609,28,50,78,19,13,5,68,214,0,"",0
"160","wingoha01",1974,"Harthorne Wingo",26,"NYK","PF",60,536,82,172,0.477,48,76,0.632,72,94,166,25,7,14,85,212,0,"",0
"161","reedwi01",1974,"Willis Reed",31,"NYK","C",19,500,84,184,0.457,42,53,0.792,47,94,141,30,12,21,49,210,0,"",0
"162","driscte01",1974,"Terry Driscoll",26,"MIL","PF",64,697,88,187,0.471,30,46,0.652,73,126,199,54,21,16,121,206,0,"",0
"163","collido01",1974,"Doug Collins",22,"PHI","SG",25,436,72,194,0.371,55,72,0.764,7,39,46,40,13,2,65,199,0,"",0
"164","stallda01",1974,"Dave Stallworth",32,"CAP","SF",45,458,75,187,0.401,47,55,0.855,52,73,125,25,28,4,61,197,0,"",0
"165","komivho01",1974,"Howard Komives",32,"KCO","PG",44,830,78,192,0.406,33,38,0.868,10,33,43,97,32,3,83,189,0,"",0
"166","abdulma01",1974,"Walt Hazzard",31,"SEA","PG",49,571,76,180,0.422,34,45,0.756,18,39,57,122,26,6,78,186,0,"",0
"167","rulebo01",1974,"Bob Rule",29,"CLE","C",26,540,76,192,0.396,34,46,0.739,43,60,103,47,12,10,71,186,0,"",0
"168","rileyro01",1974,"Ron Riley",23,"2TM","PF",48,591,81,202,0.401,24,38,0.632,48,129,177,37,18,24,95,186,0,"",0
"169","awtrede01",1974,"Dennis Awtrey",25,"CHI","C",68,756,65,123,0.528,54,94,0.574,49,125,174,86,22,14,128,184,0,"",0
