"","key","Year","Player","Age","Team","Pos","G","GS","MP","FG","FGA","FG.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","PF","PTS","Trp.Dbl","Awards"
"157","moneyer01",1975,"Eric Money",19,"DET","SG",66,NA,889,144,319,0.451,31,45,0.689,27,61,88,101,33,2,121,319,0,""
"158","adelmri01",1975,"Rick Adelman",28,"3TM","PG",58,8,1074,123,291,0.423,73,103,0.709,25,70,95,112,70,8,101,319,0,""
"159","walkefo01",1975,"Foots Walker",23,"CLE","PG",72,NA,1070,111,275,0.404,80,117,0.684,47,99,146,192,80,7,126,302,1,""
"160","adamsdo01",1975,"Don Adams",27,"DET","SF",51,NA,1376,127,315,0.403,45,78,0.577,63,181,244,75,69,20,179,299,0,""
"161","hawthna01",1975,"Nate Hawthorne",25,"PHO","SG",50,NA,618,118,287,0.411,61,94,0.649,34,58,92,39,30,21,94,297,0,""
"162","kauffbo01",1975,"Bob Kauffman",28,"ATL","PF",73,NA,797,113,261,0.433,59,84,0.702,67,115,182,81,19,4,103,285,0,""
"163","haskicl01",1975,"Clem Haskins",31,"WSB","SG",70,NA,702,115,290,0.397,53,63,0.841,29,51,80,79,23,6,73,283,0,""
"164","smithdo02",1975,"Don Smith",23,"PHI","SG",54,0,538,131,321,0.408,21,21,1,14,16,30,47,20,3,45,283,0,""
"165","mooreot01",1975,"Otto Moore",28,"2TM","C",42,NA,1066,118,262,0.45,46,69,0.667,92,238,330,83,21,40,148,282,0,""
"166","wilsobo03",1975,"Bobby Wilson",24,"CHI","SG",48,1,425,115,225,0.511,46,58,0.793,18,34,52,36,22,1,54,276,0,""
"167","dudlech01",1975,"Charles Dudley",24,"GSW","PG",67,NA,756,102,217,0.47,70,97,0.722,61,84,145,103,40,2,105,274,0,""
"168","schluda01",1975,"Dale Schlueter",29,"BUF","C",76,NA,962,92,178,0.517,84,121,0.694,78,186,264,104,18,42,163,268,0,""
"169","weissbo01",1975,"Bob Weiss",32,"BUF","PG",76,NA,1338,102,261,0.391,54,67,0.806,21,83,104,260,82,19,146,258,0,""
"170","washike01",1975,"Kermit Washington",23,"LAL","PF",55,NA,949,87,207,0.42,72,122,0.59,106,244,350,66,25,32,155,246,0,""
"171","jackswa01",1975,"Wardell Jackson",23,"SEA","SF",56,NA,939,96,242,0.397,51,71,0.718,53,80,133,30,26,5,126,243,0,""
"172","hudsolo01",1975,"Lou Hudson",30,"ATL","SG",11,NA,380,97,225,0.431,48,57,0.842,14,33,47,40,13,2,33,242,0,""
"173","wetzejo01",1975,"John Wetzel",30,"ATL","SG",63,NA,785,87,204,0.426,68,77,0.883,34,80,114,77,51,8,108,242,0,""
"174","digreer01",1975,"Ernie DiGregorio",24,"BUF","PG",31,NA,712,103,234,0.44,35,45,0.778,6,39,45,151,19,0,62,241,0,""
"175","ardji01",1975,"Jim Ard",26,"BOS","C",59,NA,719,89,266,0.335,48,65,0.738,59,140,199,40,13,32,96,226,0,""
"176","lovest01",1975,"Stan Love",25,"LAL","PF",30,NA,431,85,194,0.438,47,66,0.712,31,66,97,26,16,13,69,217,0,""
"177","lumpkph01",1975,"Phil Lumpkin",23,"POR","PG",48,NA,792,86,190,0.453,30,39,0.769,10,49,59,177,20,3,80,202,0,""
"178","gibbsdi01",1975,"Dick Gibbs",26,"WSB","SF",59,NA,424,74,190,0.389,48,64,0.75,26,35,61,19,12,3,60,196,0,""
"179","jacksgr01",1975,"Greg Jackson",22,"2TM","SG",49,0,802,73,176,0.415,36,62,0.581,19,50,69,96,23,9,130,182,0,""
