"","key","Year","Player","Age","Team","Pos","G","GS","MP","FG","FGA","FG.","X3P","X3PA","X3P.","X2P","X2PA","X2P.","eFG.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","Awards"
"373","brunsri01",2001,"Rick Brunson",28,"2TM","PG",22,0,208,18,54,0.333,2,14,0.143,16,40,0.4,0.352,8,15,0.533,5,16,21,31,8,1,17,21,46,""
"374","jamesti01",2001,"Tim James",24,"CHH","SF",30,0,197,16,52,0.308,1,3,0.333,15,49,0.306,0.317,12,14,0.857,15,20,35,8,2,5,8,27,45,""
"375","oyedeol01",2001,"Olumide Oyedeji",19,"SEA","C",30,1,221,18,37,0.486,0,0,NA,18,37,0.486,0.486,9,12,0.75,24,43,67,2,7,10,11,40,45,""
"376","scottsh01",2001,"Shawnelle Scott",28,"SAS","C",27,1,144,17,41,0.415,0,0,NA,17,41,0.415,0.415,9,22,0.409,23,27,50,4,5,6,11,23,43,""
"377","sundobr01",2001,"Bruno Šundov",20,"IND","C",11,4,120,20,41,0.488,0,4,0,20,37,0.541,0.488,3,5,0.6,4,19,23,2,2,4,3,21,43,""
"378","gilled01",2001,"Eddie Gill",22,"NJN","PG",8,0,152,16,41,0.39,3,9,0.333,13,32,0.406,0.427,4,5,0.8,0,9,9,24,4,1,10,9,39,""
"379","hardaan01",2001,"Anfernee Hardaway",29,"PHO","SG",4,4,112,15,36,0.417,2,8,0.25,13,28,0.464,0.444,7,11,0.636,5,13,18,15,6,1,3,6,39,""
"380","jacksja01",2001,"Jaren Jackson",33,"SAS","SG",16,0,114,16,40,0.4,7,18,0.389,9,22,0.409,0.488,0,2,0,1,11,12,7,5,0,3,13,39,""
"381","spencfe01",2001,"Felton Spencer",33,"NYK","C",18,0,113,12,20,0.6,0,0,NA,12,20,0.6,0.6,15,25,0.6,16,19,35,2,2,2,11,24,39,""
"382","anderni01",2001,"Nick Anderson",33,"SAC","SG",21,0,169,14,57,0.246,10,39,0.256,4,18,0.222,0.333,0,0,NA,3,22,25,13,10,4,7,13,38,""
"383","moisoje01",2001,"Jérôme Moïso",22,"BOS","C",24,0,135,12,30,0.4,0,1,0,12,29,0.414,0.4,11,26,0.423,12,30,42,3,3,4,18,29,35,""
"384","daviste01",2001,"Terry Davis",33,"DEN","PF",19,1,228,12,25,0.48,0,0,NA,12,25,0.48,0.48,9,22,0.409,24,29,53,7,1,1,5,34,33,""
"385","stewami01",2001,"Michael Stewart",25,"TOR","C",26,0,123,11,34,0.324,0,0,NA,11,34,0.324,0.324,11,18,0.611,16,13,29,2,4,3,5,19,33,""
"386","davisri01",2001,"Ricky Davis",21,"MIA","SG",7,0,70,12,29,0.414,1,1,1,11,28,0.393,0.431,7,8,0.875,1,6,7,11,5,2,5,7,32,""
"387","medvest01",2001,"Stanislav Medvedenko",21,"LAL","PF",7,0,39,12,25,0.48,1,1,1,11,24,0.458,0.5,7,12,0.583,1,8,9,2,1,1,3,9,32,""
"388","cardibr01",2001,"Brian Cardinal",23,"DET","PF",15,0,126,10,31,0.323,0,5,0,10,26,0.385,0.323,11,18,0.611,8,15,23,3,7,2,9,27,31,""
"389","harvean01",2001,"Antonio Harvey",30,"POR","PF",12,0,72,13,28,0.464,0,0,NA,13,28,0.464,0.464,5,6,0.833,5,9,14,4,1,6,3,10,31,""
"390","macledo01",2001,"Don MacLean",31,"MIA","SF",8,1,76,10,20,0.5,2,2,1,8,18,0.444,0.55,9,12,0.75,7,11,18,4,5,1,10,9,31,""
"391","voskuja01",2001,"Jake Voskuhl",23,"CHI","C",16,2,143,11,25,0.44,0,0,NA,11,25,0.44,0.44,8,14,0.571,12,22,34,5,5,6,12,38,30,""
"392","knightr01",2001,"Travis Knight",26,"NYK","C",45,0,256,10,53,0.189,0,1,0,10,52,0.192,0.189,9,18,0.5,19,34,53,5,5,11,10,47,29,""
"393","fulleto02",2001,"Todd Fuller",26,"MIA","C",10,0,77,10,35,0.286,0,0,NA,10,35,0.286,0.286,8,8,1,7,11,18,1,3,2,3,10,28,""
"394","mcilvji01",2001,"Jim McIlvaine",28,"NJN","C",18,3,193,10,28,0.357,0,0,NA,10,28,0.357,0.357,8,12,0.667,8,27,35,4,7,15,9,35,28,""
"395","westdo01",2001,"Doug West",33,"VAN","SG",15,6,171,11,38,0.289,0,2,0,11,36,0.306,0.289,6,7,0.857,4,11,15,14,3,4,4,21,28,""
"396","przybjo01",2001,"Joel Przybilla",21,"MIL","C",33,13,270,12,35,0.343,0,0,NA,12,35,0.343,0.343,3,11,0.273,29,42,71,2,3,30,13,56,27,""
"397","smithja01",2001,"Jabari Smith",23,"SAC","C",9,0,66,11,22,0.5,0,0,NA,11,22,0.5,0.5,4,6,0.667,1,7,8,6,4,0,3,7,26,""
"398","millste01",2001,"Terry Mills",33,"IND","PF",14,0,113,11,34,0.324,3,17,0.176,8,17,0.471,0.368,0,0,NA,4,17,21,5,3,1,10,20,25,""
"399","zhizhwa01",2001,"Wang Zhizhi",23,"DAL","C",5,0,38,8,19,0.421,0,2,0,8,17,0.471,0.421,8,10,0.8,1,6,7,0,0,0,1,8,24,""
"400","feickja01",2001,"Jamie Feick",26,"NJN","C",6,0,149,8,23,0.348,0,0,NA,8,23,0.348,0.348,6,12,0.5,12,44,56,5,8,3,7,15,22,""
"401","harvedo01",2001,"Donnell Harvey",20,"DAL","PF",18,0,65,8,14,0.571,0,0,NA,8,14,0.571,0.571,6,16,0.375,6,14,20,2,3,1,7,15,22,""
"402","cheanca01",2001,"Calbert Cheaney",29,"DEN","SG",9,5,153,10,30,0.333,0,0,NA,10,30,0.333,0.333,1,2,0.5,5,15,20,9,4,2,5,14,21,""
"403","corbity01",2001,"Tyrone Corbin",38,"TOR","SF",15,1,117,9,38,0.237,0,5,0,9,33,0.273,0.237,2,4,0.5,3,10,13,4,2,0,3,18,20,""
"404","jacobsa01",2001,"Sam Jacobson",25,"MIN","PG",14,0,59,9,18,0.5,0,0,NA,9,18,0.5,0.5,2,3,0.667,3,3,6,4,3,0,0,19,20,""
"405","sanchpe01",2001,"Pepe Sánchez",23,"2TM","PG",29,0,150,9,28,0.321,0,1,0,9,27,0.333,0.321,2,2,1,3,12,15,41,11,1,6,21,20,""
"406","barkler01",2001,"Erick Barkley",22,"POR","PG",8,0,38,8,22,0.364,3,8,0.375,5,14,0.357,0.432,0,0,NA,0,3,3,6,2,0,5,2,19,""
"407","bryanma01",2001,"Mark Bryant",35,"DAL","PF",18,1,101,8,20,0.4,0,0,NA,8,20,0.4,0.4,3,5,0.6,4,17,21,3,1,2,5,29,19,""
"408","garnech01",2001,"Chris Garner",25,"GSW","PG",8,0,149,7,37,0.189,0,7,0,7,30,0.233,0.189,5,6,0.833,2,10,12,18,7,1,9,18,19,""
"409","goodrst01",2001,"Steve Goodrich",24,"CHI","PF",12,0,133,7,18,0.389,1,3,0.333,6,15,0.4,0.417,4,7,0.571,7,14,21,6,2,1,8,14,19,""
"410","mcclida01",2001,"Dan McClintock",23,"DEN","C",6,1,58,9,18,0.5,0,0,NA,9,18,0.5,0.5,0,5,0,10,7,17,1,0,2,3,11,18,""
"411","burresc01",2001,"Scott Burrell",30,"CHH","SF",4,0,41,7,15,0.467,2,6,0.333,5,9,0.556,0.533,1,4,0.25,1,2,3,1,3,0,0,8,17,""
"412","smithto02",2001,"Tony Smith",32,"ATL","SG",6,0,78,8,23,0.348,0,2,0,8,21,0.381,0.348,1,2,0.5,2,1,3,10,7,0,9,12,17,""
