"","key","Year","Player","Age","Team","Pos","G","GS","MP","FG","FGA","FG.","X2P","X2PA","X2P.","eFG.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","Awards"
"226","dickede01",1978,"Derrek Dickey",26,"2TM","PF",47,NA,493,87,198,0.439,87,198,0.439,0.439,30,36,0.833,36,61,97,21,14,4,40,56,204,""
"227","digreer01",1978,"Ernie DiGregorio",27,"2TM","PG",52,NA,606,88,209,0.421,88,209,0.421,0.421,28,33,0.848,7,43,50,137,18,1,93,44,204,""
"228","norwowi01",1978,"Willie Norwood",30,"2TM","SF",35,NA,611,74,181,0.409,74,181,0.409,0.409,50,75,0.667,49,70,119,33,31,3,56,101,198,""
"229","coxwe01",1978,"Wesley Cox",23,"GSW","SF",43,NA,453,69,173,0.399,69,173,0.399,0.399,58,100,0.58,42,101,143,12,21,10,36,82,196,""
"230","kupeccj01",1978,"C.J. Kupec",25,"HOU","SF",49,NA,626,84,197,0.426,84,197,0.426,0.426,27,33,0.818,27,64,91,50,10,3,24,54,195,""
"231","hassejo01",1978,"Joe Hassett",22,"SEA","SG",48,NA,404,91,205,0.444,91,205,0.444,0.444,10,12,0.833,14,22,36,41,21,0,34,45,192,""
"232","pacejo01",1978,"Joe Pace",24,"WSB","C",49,NA,438,67,140,0.479,67,140,0.479,0.479,57,93,0.613,50,84,134,23,12,21,44,86,191,""
"233","charlke01",1978,"Ken Charles",26,"ATL","SG",21,NA,520,73,184,0.397,73,184,0.397,0.397,42,50,0.84,6,18,24,82,25,5,37,53,188,""
"234","eberhal01",1978,"Al Eberhard",25,"DET","SF",37,NA,576,71,160,0.444,71,160,0.444,0.444,41,61,0.672,37,65,102,26,13,4,23,64,183,""
"235","laytomo01",1978,"Mo Layton",29,"SAS","PG",41,NA,498,85,168,0.506,85,168,0.506,0.506,12,13,0.923,4,28,32,108,21,4,59,51,182,""
"236","walkeph01",1978,"Phil Walker",21,"WSB","SG",40,NA,384,57,161,0.354,57,161,0.354,0.354,64,96,0.667,21,31,52,54,14,5,62,39,178,""
"237","catchha01",1978,"Harvey Catchings",26,"PHI","C",61,2,748,70,178,0.393,70,178,0.393,0.393,34,55,0.618,105,145,250,34,20,67,44,124,174,""
"238","hawkiro01",1978,"Bubbles Hawkins",23,"NJN","SG",15,NA,343,69,150,0.46,69,150,0.46,0.46,25,29,0.862,21,29,50,37,22,13,43,51,163,""
"239","bailegu01",1978,"Gus Bailey",26,"NOJ","SG",48,NA,449,59,139,0.424,59,139,0.424,0.424,37,67,0.552,44,38,82,40,18,15,33,46,155,""
"240","jacksph01",1978,"Phil Jackson",32,"NYK","PF",63,NA,654,55,115,0.478,55,115,0.478,0.478,43,56,0.768,29,81,110,46,31,15,47,106,153,""
"241","restake01",1978,"Kevin Restani",26,"2TM","PF",54,NA,547,72,167,0.431,72,167,0.431,0.431,9,13,0.692,36,72,108,30,5,5,17,41,153,""
"242","greenst01",1978,"Steve Green",24,"IND","SF",44,NA,449,56,128,0.438,56,128,0.438,0.438,39,56,0.696,31,40,71,30,14,2,23,67,151,""
"243","silasja01",1978,"James Silas",28,"SAS","PG",37,NA,311,43,97,0.443,43,97,0.443,0.443,60,73,0.822,4,19,23,38,11,1,30,29,146,""
