"","key","Year","Player","Pos","Age","Tm","G","GS","MP","FG","FGA","FG.","X3P","X3PA","X3P.","X2P","X2PA","X2P.","eFG.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS"
"105","thornro01",1967,"Rod Thorn*","PG","25","STL","67","","1166","233","524",".445","","","","233","524",".445",".445","125","172",".727","","","160","118","","","","88","591"
"106","thurmna01",1967,"Nate Thurmond*","C","25","SFW","65","","2761","467","1068",".437","","","","467","1068",".437",".437","280","445",".629","","","1382","166","","","","183","1214"
"107","tormobu01",1967,"Gene Tormohlen","C","29","STL","63","","1036","172","403",".427","","","","172","403",".427",".427","50","84",".595","","","347","73","","","","177","394"
"108","tresvjo01",1967,"John Tresvant","PF","27","DET","68","","1553","256","585",".438","","","","256","585",".438",".438","164","234",".701","","","483","88","","","","246","676"
"109","vanardi01",1967,"Dick Van Arsdale","SG","23","NYK","79","79","2892","410","913",".449","","","","410","913",".449",".449","371","509",".729","","","555","247","","","","264","1191"
"110","vanarto01",1967,"Tom Van Arsdale","SG","23","DET","79","","2134","347","887",".391","","","","347","887",".391",".391","272","347",".784","","","341","193","","","","241","966"
"111","vaughch01",1967,"Chico Vaughn","SG","26","DET","51","","680","85","226",".376","","","","85","226",".376",".376","50","74",".676","","","67","75","","","","54","220"
"112","walkech01",1967,"Chet Walker*","SF","26","PHI","81","","2691","561","1150",".488","","","","561","1150",".488",".488","445","581",".766","","","660","188","","","","232","1567"
"113","wardge01",1967,"Gerry Ward","SG","25","CHI","76","","1042","117","307",".381","","","","117","307",".381",".381","87","138",".630","","","179","130","","","","169","321"
"114","wareji01",1967,"Jim Ware","PF","22","CIN","33","","201","30","97",".309","","","","30","97",".309",".309","10","17",".588","","","69","6","","","","35","70"
"115","warlebe01",1967,"Ben Warley","SF","30","BAL","62","","1037","125","312",".401","","","","125","312",".401",".401","134","170",".788","","","325","51","","","","176","384"
"116","warlibo01",1967,"Bob Warlick","SG","25","SFW","12","","65","15","52",".288","","","","15","52",".288",".288","6","11",".545","","","20","10","","","","4","36"
"117","washiji01",1967,"Jim Washington","PF","23","CHI","77","","1475","252","604",".417","","","","252","604",".417",".417","88","159",".553","","","468","56","","","","181","592"
"118","wattsro01",1967,"Ron Watts","F","23","BOS","27","","89","11","44",".250","","","","11","44",".250",".250","16","23",".696","","","38","1","","","","16","38"
"119","weissbo01",1967,"Bob Weiss","PG","24","PHI","6","","29","5","10",".500","","","","5","10",".500",".500","2","5",".400","","","3","10","","","","8","12"
"120","weslewa01",1967,"Walt Wesley","C","22","CIN","64","","909","131","333",".393","","","","131","333",".393",".393","52","123",".423","","","329","19","","","","161","314"
"121","westje01",1967,"Jerry West*","PG","28","LAL","66","","2670","645","1389",".464","","","","645","1389",".464",".464","602","686",".878","","","392","447","","","","160","1892"
"122","wilkele01",1967,"Lenny Wilkens*","PG","29","STL","78","","2974","448","1036",".432","","","","448","1036",".432",".432","459","583",".787","","","412","442","","","","280","1355"
"123","wilsoge01",1967,"George Wilson","C","24","TOT","55","","573","85","234",".363","","","","85","234",".363",".363","58","86",".674","","","206","15","","","","92","228"
