"","key","Year","Player","Age","Team","Pos","G","MP","FG","FGA","FG.","X2P","X2PA","X2P.","eFG.","FT","FTA","FT.","TRB","AST","PF","PTS","Awards"
"180","quickbo01",1972,"Bob Quick",25,"DET","SF",18,204,39,82,0.476,39,82,0.476,0.476,34,45,0.756,51,11,29,112,""
"181","eganjo01",1972,"Johnny Egan",33,"HOU","PG",38,437,42,104,0.404,42,104,0.404,0.404,26,32,0.813,26,51,55,110,""
"182","murredo01",1972,"Dorie Murrey",28,"BAL","PF",51,421,43,113,0.381,43,113,0.381,0.381,24,39,0.615,126,17,76,110,""
"183","driscte01",1972,"Terry Driscoll",24,"BAL","PF",40,313,40,104,0.385,40,104,0.385,0.385,27,39,0.692,109,23,53,107,""
"184","bayloel01",1972,"Elgin Baylor",37,"LAL","SF",9,239,42,97,0.433,42,97,0.433,0.433,22,27,0.815,57,18,20,106,""
"185","rinalri01",1972,"Rich Rinaldi",22,"BAL","SG",39,159,42,104,0.404,42,104,0.404,0.404,20,30,0.667,18,15,25,104,""
"186","masted01",1972,"Eddie Mast",23,"NYK","PF",40,270,39,112,0.348,39,112,0.348,0.348,25,41,0.61,73,10,39,103,""
"187","cleamji01",1972,"Jim Cleamons",22,"LAL","PG",38,201,35,100,0.35,35,100,0.35,0.35,28,36,0.778,39,35,21,98,""
"188","webbje01",1972,"Jeff Webb",23,"2TM","SG",46,238,40,100,0.4,40,100,0.4,0.4,16,23,0.696,35,23,29,96,""
"189","fordja01",1972,"Jake Ford",26,"SEA","PG",26,181,33,66,0.5,33,66,0.5,0.5,26,33,0.788,11,26,21,92,""
"190","taylofr01",1972,"Fred Taylor",23,"2TM","SG",34,283,36,117,0.308,36,117,0.308,0.308,15,32,0.469,54,18,40,87,""
"191","erickke01",1972,"Keith Erickson",27,"LAL","SF",15,262,40,83,0.482,40,83,0.482,0.482,6,7,0.857,39,35,26,86,""
"192","wetzejo01",1972,"John Wetzel",27,"PHO","SG",51,419,31,82,0.378,31,82,0.378,0.378,24,30,0.8,65,56,71,86,""
"193","durreke01",1972,"Ken Durrett",23,"CIN","SF",19,233,31,79,0.392,31,79,0.392,0.392,21,28,0.75,39,14,41,83,""
"194","jonesja01",1972,"Jake Jones",22,"2TM","SG",17,202,28,72,0.389,28,72,0.389,0.389,20,31,0.645,26,12,22,76,""
"195","mclemmc01",1972,"McCoy McLemore",29,"2TM","SF",27,246,28,71,0.394,28,71,0.394,0.394,20,24,0.833,73,22,33,76,""
"196","yatesba01",1972,"Barry Yates",26,"PHI","PF",24,144,31,83,0.373,31,83,0.373,0.373,7,11,0.636,40,7,14,69,""
"197","allisod01",1972,"Odis Allison",22,"GSW","SF",36,166,17,78,0.218,17,78,0.218,0.218,33,61,0.541,45,10,34,67,""
"198","willimi01",1972,"Milt Williams",26,"ATL","PG",10,127,23,53,0.434,23,53,0.434,0.434,21,29,0.724,4,20,18,67,""
"199","glovecl01",1972,"Clarence Glover",24,"BOS","PF",25,119,25,55,0.455,25,55,0.455,0.455,15,32,0.469,46,4,26,65,""
"200","paulkch01",1972,"Charlie Paulk",25,"2TM","PF",35,211,24,88,0.273,24,88,0.273,0.273,15,21,0.714,64,11,31,63,""
"201","colliji01",1972,"Jimmy Collins",25,"CHI","SG",19,134,26,71,0.366,26,71,0.366,0.366,10,11,0.909,12,10,11,62,""
"202","milesed01",1972,"Eddie Miles",31,"NYK","SG",42,198,23,64,0.359,23,64,0.359,0.359,16,18,0.889,16,17,46,62,""
"203","smithga01",1972,"Garfield Smith",26,"BOS","PF",26,134,28,66,0.424,28,66,0.424,0.424,6,31,0.194,37,8,22,62,""
"204","ridglja01",1972,"Jackie Ridgle",23,"CLE","SG",32,107,19,44,0.432,19,44,0.432,0.432,19,26,0.731,15,7,15,57,""
"205","harriar01",1972,"Art Harris",25,"PHO","SG",21,145,23,70,0.329,23,70,0.329,0.329,9,21,0.429,13,18,26,55,""
"206","morgare01",1972,"Rex Morgan",23,"BOS","SG",28,150,16,50,0.32,16,50,0.32,0.32,23,31,0.742,30,17,34,55,""
"207","dinkija01",1972,"Jackie Dinkins",22,"CHI","SF",18,89,17,41,0.415,17,41,0.415,0.415,11,20,0.55,20,7,10,45,""
"208","lowerch01",1972,"Charlie Lowery",22,"MIL","PG",20,134,17,38,0.447,17,38,0.447,0.447,11,18,0.611,19,14,16,45,""
"209","dinwibi01",1972,"Bill Dinwiddie",28,"MIL","PF",23,144,16,57,0.281,16,57,0.281,0.281,5,9,0.556,32,9,23,37,""
"210","mixst01",1972,"Steve Mix",24,"DET","SF",8,104,15,47,0.319,15,47,0.319,0.319,7,12,0.583,23,4,7,37,""
"211","nelsoba01",1972,"Barry Nelson",22,"MIL","C",28,102,15,36,0.417,15,36,0.417,0.417,5,10,0.5,20,7,21,35,""
"212","bartovi01",1972,"Vic Bartolome",23,"GSW","C",38,165,15,59,0.254,15,59,0.254,0.254,4,5,0.8,60,3,22,34,""
"213","pricemi01",1972,"Mike Price",23,"NYK","SG",6,40,5,14,0.357,5,14,0.357,0.357,9,11,0.818,6,6,10,19,""
"214","fillmgr01",1972,"Greg Fillmore",24,"NYK","C",10,67,7,27,0.259,7,27,0.259,0.259,1,3,0.333,15,3,17,15,""
"215","catlesi01",1972,"Sid Catlett",23,"CIN","SF",9,40,2,9,0.222,2,9,0.222,0.222,2,9,0.222,4,1,3,6,""
"216","halimsh01",1972,"Shaler Halimon",26,"ATL","SF",1,4,0,0,NA,0,0,NA,NA,0,0,NA,0,0,1,0,""
