"","Year","Player","Age","Team","Pos","G","FG","FGA","FG.","X2P","X2PA","X2P.","eFG.","FT","FTA","FT.","TRB","AST","PF","PTS","Awards","GS","MP","X3P","X3PA","X3P.","ORB","DRB","STL","BLK","TOV","X2PAdd","X3PAdd","FTAdd","PTSAdd","valueAdd"
"65","1949-1950","Andy Phillip (phillan01)",27,"CHS","",2,7,27,0.259,7,27,0.259,NA,10,13,0.769,NA,12,8,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.1850367246063,0,0.720679528239541,-3.64939392097306,NA
"66","1949-1950","Chick Reiser (reisech01)",35,"WSC","",2,7,27,0.259,7,27,0.259,NA,9,11,0.818,NA,5,11,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.1850367246063,0,1.14880575466423,-3.22126769454838,NA
"67","1949-1950","Arnie Risen (risenar01)",25,"ROC","C",2,7,19,0.368,7,19,0.368,NA,9,15,0.6,NA,4,7,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.533381564165935,0,-1.70344669818515,-0.636683569853275,NA
"68","1949-1950","Odie Spears (spearod01)",25,"CHS","SF",2,9,22,0.409,9,22,0.409,NA,5,10,0.5,NA,1,11,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.51959970587635,0,-2.13563113212343,0.903568279629261,NA
"69","1949-1950","Leo Barnhorst (barnhle01)",25,"CHS","SF",2,8,25,0.32,8,25,0.32,NA,6,6,1,NA,4,10,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.498182152413243,0,1.71862132072594,0.722257015899456,NA
"70","1949-1950","Ray Lumpp (lumppra01)",26,"NYK","",5,10,18,0.556,10,18,0.556,NA,2,3,0.667,NA,3,10,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.88930885026247,0,-0.139689339637029,7.6389283608879,NA
"71","1949-1950","Carl Shaeffer (shaefca01)",25,"INO","",6,7,21,0.333,7,21,0.333,NA,7,14,0.5,NA,7,20,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.145473008027124,0,-2.9898835849728,-3.28082960102705,NA
"72","1949-1950","Arnie Johnson (johnsar01)",29,"ROC","SF",2,6,12,0.5,6,12,0.5,NA,8,12,0.667,NA,5,11,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.92087256684164,0,-0.558757358548116,3.28298777513517,NA
"73","1949-1950","Leroy Chollet (chollle01)",24,"SYR","",8,7,26,0.269,7,26,0.269,NA,5,13,0.385,NA,4,11,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.84410943850977,0,-4.27132047176046,-7.95953934878,NA
"74","1949-1950","Chick Halbert (halbech01)",30,"WSC","",2,7,16,0.438,7,16,0.438,NA,5,9,0.556,NA,3,7,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.56916342245552,0,-1.41806801891109,1.72025882599996,NA
"75","1949-1950","Gene Vance (vancege01)",26,"TRI","",3,7,31,0.226,7,31,0.226,NA,5,10,0.5,NA,9,17,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.53174586899242,0,-2.13563113212343,-9.19912287010827,NA
"76","1949-1950","Kleggie Hermsen (hermskl01)",26,"CHS","",2,7,24,0.292,7,24,0.292,NA,4,5,0.8,NA,5,12,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.15025486631671,0,0.432184433938285,-1.86832529869514,NA
"77","1949-1950","Don Ray (raydo01)",28,"TRI","",3,4,13,0.308,4,13,0.308,NA,10,11,0.909,NA,0,7,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.415054719254886,0,2.14980575466423,1.31969631615445,NA
"78","1949-1950","Pep Saul (saulpe01)",25,"ROC","SG",2,7,13,0.538,7,13,0.538,NA,4,5,0.8,NA,4,8,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.57494528074511,0,0.432184433938285,5.58207499542851,NA
"79","1949-1950","Ray Corley (corlera01)",22,"SYR","",6,6,36,0.167,6,36,0.167,NA,5,11,0.455,NA,10,5,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6.22538229947507,0,-2.84419424533577,-15.2949588442859,NA
"80","1949-1950","Milt Schoon (schoomi01)",27,"SHE","",3,5,17,0.294,5,17,0.294,NA,7,10,0.7,NA,3,6,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.780763863641006,0,-0.13563113212343,-1.69715885940544,NA
