"","Year","laPTSperMake","laPTSperPoss","laORBrate","laDRBrate","la3P.","la2P.","laFT.","laFG.","laPTSperM","laTRBperM","laDRBperM","laORBperM","laASTperM","laSTLperM","laBLKperM","laTOVperM"
"12","1960-1961",2,NA,NA,NA,NA,0.413762083780881,0.731862305563136,0.413762083780881,0.413819693958797,0.259204308165732,NA,NA,0.0843222332584035,NA,NA,NA
"13","1961-1962",2,NA,NA,NA,NA,0.42492819530876,0.729006310242008,0.42492819530876,0.411495754408883,0.23842404549147,NA,NA,0.0718823136074891,NA,NA,NA
"14","1962-1963",2,NA,NA,NA,NA,0.440095623203886,0.729096155901528,0.440095623203886,0.407241350493064,0.220993117010816,NA,NA,0.0752269981765294,NA,NA,NA
"15","1963-1964",2,NA,NA,NA,NA,0.431787282995189,0.721882144700937,0.431787282995189,0.404132842728169,0.218769043544261,NA,NA,0.077922603626943,NA,NA,NA
"16","1964-1965",2,NA,NA,NA,NA,0.425875975827995,0.722523177604072,0.425875975827995,0.423665701282582,0.230769230769231,NA,NA,0.0772963604852686,NA,NA,NA
"17","1965-1966",2,NA,NA,NA,NA,0.433167596563809,0.728172313717263,0.433167596563809,0.431924882629108,0.244333461390703,NA,NA,0.0772185939300807,NA,NA,NA
"18","1966-1967",2,NA,NA,NA,NA,0.439805458704391,0.73077896601911,0.439805458704391,0.447744488550046,0.237937943644249,NA,NA,0.0746176071081145,NA,NA,NA
"19","1967-1968",2,NA,NA,NA,NA,0.446060923387625,0.718162892251447,0.446060923387625,0.423604757548033,0.209876543209877,NA,NA,0.0773480662983425,NA,NA,NA
"20","1968-1969",2,NA,NA,NA,NA,0.440328470168366,0.712492989343803,0.440328470168366,0.415422885572139,0.219188191881919,NA,NA,0.073394495412844,NA,NA,NA
"21","1969-1970",2,NA,NA,NA,NA,0.45947607920305,0.749683729077462,0.45947607920305,0.439652314652315,0.218266253869969,NA,NA,0.0864068147896403,NA,NA,NA
"22","1970-1971",2,NA,NA,NA,NA,0.449106368211001,0.743567233126398,0.449106368211001,0.417786561264822,0.210392156862745,NA,NA,0.0786085797799175,NA,NA,NA
"23","1971-1972",2,NA,NA,NA,NA,0.45424698988659,0.749129835161227,0.45424698988659,0.416218619025443,0.195054141059409,NA,NA,0.0763415916259085,NA,NA,NA
"24","1972-1973",2,NA,NA,NA,NA,0.456083329247193,0.757265370863242,0.456083329247193,0.407021899668959,0.186966573076869,NA,NA,0.0837811287803731,NA,NA,NA
"25","1973-1974",2,NA,0.304683211103447,0.695316788896553,NA,0.458514746937063,0.771436263292502,0.458514746937063,0.396551724137931,0.188591385331781,0.12565445026178,0.0578764142732811,0.0807453416149068,0.0307343901649951,0.00959488272921109,NA
"26","1974-1975",2,NA,0.300955349278406,0.699044650721594,NA,0.457322067357839,0.764101658127855,0.457322067357839,0.390210183299389,0.177747862928814,0.119681697612732,0.0547741617602122,0.079135101103403,0.0328242961145072,0.0102630817326569,NA
"27","1975-1976",2,NA,0.303229616902467,0.696770383097533,NA,0.458627547449605,0.751638285378743,0.458627547449605,0.4,0.181871532223645,0.118637862338109,0.0571945897726451,0.0762818365875221,0.0316241366150634,0.0113837778392319,NA
"28","1976-1977",2,NA,0.317664087290542,0.682335912709458,NA,0.465331708761302,0.750292287384499,0.465331708761302,0.406433431163287,0.174806385332701,0.112889925429765,0.0576711914575343,0.0809455381355006,0.0341490184339844,0.0111037135670957,NA
"29","1977-1978",2,NA,0.319229269922593,0.680770730077407,NA,0.468582985887484,0.751047376483399,0.468582985887484,0.4029590948651,0.176470588235294,0.113300492610837,0.0592105263157895,0.0859016393442623,0.0354824751189961,0.0122560145256468,0.0779220779220779
"30","1978-1979",2,NA,0.329287605044445,0.670712394955555,NA,0.483827877929877,0.751428201667622,0.483827877929877,0.40832328106152,0.175257731958763,0.111111111111111,0.0593096742829363,0.085972850678733,0.0336391437308868,0.012582056892779,0.0757894736842105
"31","1979-1980",2.01804993048419,0.891969489570151,0.334939730781858,0.665060269218142,0.278804855275444,0.487465565564965,0.764142534751854,0.480968274642973,0.400468457726681,0.181096951524238,0.114078736184631,0.059206603754189,0.0859134496218636,0.0357080354017701,0.0134983297904646,0.0743498163891544
"32","1980-1981",2.0115691036878,0.895484213382472,0.334612450588317,0.665387549411683,0.243938644235527,0.490709026515681,0.750283017224864,0.485032495987798,0.392089856817878,0.172910400145839,0.105865650149614,0.0612358071647669,0.0854310184323217,0.0342125252570946,0.0129303835699185,0.0724470091611281
