"","Year","Player","Age","Team","Pos","G","FG","FGA","FG.","X2P","X2PA","X2P.","eFG.","FT","FTA","FT.","TRB","AST","PF","PTS","Awards","GS","MP","X3P","X3PA","X3P.","ORB","DRB","STL","BLK","TOV","X2PAdd","X3PAdd","FTAdd","PTSAdd","valueAdd","vaPTSv","vaAST","vaSTL","vaBLK","vaTOV","vaDRB","vaORB"
"7786","2008-2009","James Jones (jonesja02)",28,"MIA","SF",7,17,32,0.531,6,10,0.6,0.703,22,24,0.917,16,5,19,67,"",7,235,11,22,0.5,2,14,3,1,4,1.14890043690443,2.94634238074343,3.527812663575,14.6646406796142,-39.6224917325661,-29.9298371131654,-16.6370547128087,-3.81745303508517,-2.53377497300403,8.47183579978599,-3.85657210839147,-5.98427626951154
"7787","2008-2009","Tyrus Thomas (thomaty01)",22,"CHI","PF",7,28,64,0.438,28,63,0.444,0.438,11,14,0.786,44,6,23,67,"",7,195,0,1,0,8,36,7,20,11,-2.5899272475021,-0.366075346329844,0.223890720418752,-6.05418981357498,-16.9176143479382,-13.4311414343287,-11.7873995653167,1.08121185117188,11.1487655284489,-0.205309551100643,2.91335512616285,-0.582906489400841
"7788","2008-2009","Al Horford (horfoal01)",22,"ATL","C",9,25,59,0.424,25,58,0.431,0.424,12,18,0.667,52,18,26,62,"",9,252,0,1,0,12,40,6,6,4,-3.13837746595431,-0.366075346329844,-1.85414050231875,-9.2291214732169,-44.1357399039143,-41.941782776671,-4.06377331677897,-1.47212693601338,0.689136811635581,9.35726202916817,2.12943483053303,0.395230927429121
"7789","2008-2009","Brian Scalabrine (scalabr01)",30,"BOS","C",12,22,52,0.423,9,23,0.391,0.548,4,4,1,26,12,43,61,"",0,246,13,29,0.448,7,19,2,5,5,-2.16452899511981,2.37581495643453,0.9199687772625,3.71835565632646,-49.4969852575879,-40.4669784248455,-10.0403449126135,-5.0703888857052,0.0802354955445472,8.1027887230855,-2.94776044441749,-2.87289246496284
"7790","2008-2009","Rodney Stuckey (stuckro01)",22,"DET","PG",4,24,61,0.393,24,53,0.453,0.393,12,14,0.857,9,21,9,60,"",4,128,0,8,0,2,7,0,0,6,-1.70182768440653,-2.92860277063875,1.21789072041875,-10.9715729603106,-2.15393674785441,7.20417382772268,10.8611491873087,-3.61851251913803,-1.75660508735444,1.01491908224969,-2.25743918866658,-2.63004908966584
"7791","2008-2009","Steve Blake (blakest01)",28,"POR","PG",6,22,45,0.489,12,21,0.571,0.6,5,7,0.714,24,37,11,59,"",6,231,10,24,0.417,4,20,5,0,9,1.8036909174993,1.22219168808375,-0.392054639790624,6.88190225945921,-18.9165794416311,-36.2799675452817,18.6216073528136,-1.8204346568489,-3.17012324358497,3.55365056136893,-2.22681392944188,-4.47640024011539
"7792","2008-2009","Udonis Haslem (hasleud01)",28,"MIA","PF",7,25,46,0.543,25,46,0.543,0.543,9,10,0.9,61,3,19,59,"",7,204,0,0,NA,13,48,3,3,6,2.66294200976037,0,1.29992194315625,6.625805962677,-24.8836306988776,-25.143347962067,-15.903556548069,-2.94109453435643,-0.725862819288823,4.97329516654647,5.63995688539494,2.59117315028516
"7793","2008-2009","Paul Millsap (millspa01)",23,"UTA","PF",5,25,49,0.51,25,49,0.51,0.51,9,18,0.5,40,8,17,59,"",0,155,0,0,NA,20,20,4,5,6,1.2196121408317,0,-4.86014050231875,-2.42091622065534,-0.943134273436407,-4.93244575549207,-5.84765988644939,-0.613912779617297,1.3290719248356,2.42118427009197,0.155627805775625,8.9659163680745
"7794","2008-2009","Antoine Wright (wrighan01)",24,"DAL","SF",10,21,43,0.488,13,22,0.591,0.581,9,11,0.818,13,10,30,59,"",5,167,8,21,0.381,5,8,3,2,4,2.32958096118974,0.313417727073278,0.527914137471876,6.1273292410712,-11.4325825029867,-9.88205445914306,-4.79536200853372,-1.89511825929309,-0.909336340786203,4.9301308822573,-3.22928022239815,-1.77889133616092
"7795","2008-2009","Lou Williams (willilo02)",22,"PHI","SG",6,21,51,0.412,15,35,0.429,0.471,10,15,0.667,15,17,10,58,"",0,149,6,16,0.375,2,13,3,1,12,-1.9638484708345,0.142794458722498,-1.54511708526562,-5.04443065076713,-14.9577294308792,-3.45764140366656,4.52703648834609,-1.38626493628931,-1.35355592993776,-3.54313869102372,-1.41137894893328,-3.28835535860752
